,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,consumption-for-eg-btu-units,consumption-uto,consumption-uto-units,consumption-uto-btu,consumption-uto-btu-units,cost,cost-units,cost-per-btu,cost-per-btu-units,generation,generation-units,heat-content,heat-content-units,receipts,receipts-units,receipts-btu,receipts-btu-units,stocks,stocks-units,total-consumption,total-consumption-units,total-consumption-btu,total-consumption-btu-units
0,2023-01,AK,Alaska,99,All Sectors,COW,all coal products,44.714,thousand short tons,0.6687,million MMBtu,45.844,thousand short tons,0.68766,million MMBtu,,dollars per short tons,,dollars per million Btu,64.12939,thousand megawatthours,14.9778,Btu per short tons,27.938,thousand short tons,417.0614,billion Btu,,thousand short tons,90.558,thousand short tons,1.35636,million MMBtu
1,2023-01,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.07494,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,15.09383,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.07494,million MMBtu
2,2023-01,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.59356,million MMBtu,0.0,thousand physical units,0.77319,million MMBtu,,dollars per physical units,,dollars per million Btu,569.06793,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,5.36674,million MMBtu
3,2023-01,AK,Alaska,99,All Sectors,REN,renewable,64.657,thousand physical units,0.49845,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,139.2181,thousand megawatthours,0.54,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,64.657,thousand physical units,0.49845,million MMBtu
4,2023-01,AK,Alaska,99,All Sectors,PET,petroleum,151.182,thousand barrels,0.75598,million MMBtu,5.766,thousand barrels,0.03071,million MMBtu,,dollars per barrels,,dollars per million Btu,83.88415,thousand megawatthours,5.0124,Btu per barrels,1.365,thousand barrels,7.644,billion Btu,,thousand barrels,156.948,thousand barrels,0.78669,million MMBtu
5,2023-01,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2744.498,thousand Mcf,2.67043,million MMBtu,56.397,thousand Mcf,0.05482,million MMBtu,,dollars per Mcf,,dollars per million Btu,282.04029,thousand megawatthours,0.973,Btu per Mcf,2.051,thousand Mcf,2.051,billion Btu,,thousand Mcf,2800.895,thousand Mcf,2.72525,million MMBtu
6,2023-01,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.42351,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,124.12427,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.42351,million MMBtu
7,2023-02,AK,Alaska,99,All Sectors,COW,all coal products,33.206,thousand short tons,0.50234,million MMBtu,40.122,thousand short tons,0.60183,million MMBtu,,dollars per short tons,,dollars per million Btu,45.25365,thousand megawatthours,15.0579,Btu per short tons,17.585,thousand short tons,268.0224,billion Btu,,thousand short tons,73.328,thousand short tons,1.10417,million MMBtu
8,2023-02,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.08211,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,17.76213,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.08211,million MMBtu
9,2023-02,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,3.80841,million MMBtu,0.0,thousand physical units,0.68558,million MMBtu,,dollars per physical units,,dollars per million Btu,480.69343,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,4.49399,million MMBtu
10,2023-02,AK,Alaska,99,All Sectors,REN,renewable,60.492,thousand physical units,0.46174,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,129.02695,thousand megawatthours,0.53,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,60.492,thousand physical units,0.46174,million MMBtu
11,2023-02,AK,Alaska,99,All Sectors,PET,petroleum,115.022,thousand barrels,0.57189,million MMBtu,5.67,thousand barrels,0.03093,million MMBtu,,dollars per barrels,,dollars per million Btu,64.08309,thousand megawatthours,4.9946,Btu per barrels,2.854,thousand barrels,15.9824,billion Btu,,thousand barrels,120.692,thousand barrels,0.60281,million MMBtu
12,2023-02,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2333.033,thousand Mcf,2.27245,million MMBtu,54.346,thousand Mcf,0.05282,million MMBtu,,dollars per Mcf,,dollars per million Btu,242.49974,thousand megawatthours,0.974,Btu per Mcf,4.463,thousand Mcf,4.463,billion Btu,,thousand Mcf,2387.379,thousand Mcf,2.32528,million MMBtu
13,2023-02,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.37963,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,111.26482,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.37963,million MMBtu
14,2023-03,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.63208,million MMBtu,0.0,thousand physical units,0.64312,million MMBtu,,dollars per physical units,,dollars per million Btu,548.14126,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,5.2752,million MMBtu
