,period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
0,2023,AK,Alaska,ALL,all sectors,357119,21.39,1283.90142,6003.63966,number of customers,cents per kilowatthour,million dollars,million kilowatthours
1,2023,AK,Alaska,RES,residential,298426,23.89,488.93037,2046.18113,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2,2023,AK,Alaska,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
3,2023,AK,Alaska,IND,industrial,1183,18.74,259.18168,1382.99739,number of customers,cents per kilowatthour,million dollars,million kilowatthours
4,2023,AK,Alaska,COM,commercial,57510,20.81,535.78938,2574.46114,number of customers,cents per kilowatthour,million dollars,million kilowatthours
5,2023,AL,Alabama,ALL,all sectors,2757183,11.5,9866.94451,85827.99581,number of customers,cents per kilowatthour,million dollars,million kilowatthours
6,2023,AL,Alabama,COM,commercial,380934,13.18,2987.20952,22670.85422,number of customers,cents per kilowatthour,million dollars,million kilowatthours
7,2023,AL,Alabama,IND,industrial,7209,7.13,2226.27246,31236.01034,number of customers,cents per kilowatthour,million dollars,million kilowatthours
8,2023,AL,Alabama,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
9,2023,AL,Alabama,RES,residential,2369040,14.58,4653.46253,31921.13125,number of customers,cents per kilowatthour,million dollars,million kilowatthours
10,2023,AR,Arkansas,ALL,all sectors,1716362,9.74,4796.50856,49257.31924,number of customers,cents per kilowatthour,million dollars,million kilowatthours
11,2023,AR,Arkansas,RES,residential,1472351,12.23,2279.5395,18633.30174,number of customers,cents per kilowatthour,million dollars,million kilowatthours
12,2023,AR,Arkansas,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
13,2023,AR,Arkansas,IND,industrial,35665,6.87,1286.63213,18728.25769,number of customers,cents per kilowatthour,million dollars,million kilowatthours
